Date;23-9-2021;;;;;;;;;;
Type;MAJOR FLAG;STOCK TYPE;QUOTE INDICATOR;GEOGRAPHIC DESCR.;GEOG DESC OF LSTNG;CURRENCY;ISIN ISSUER CTRY;NAME;FULL NAME;COMPANY NAME;ISIN CODE
29752J;Y;EQ;S;FRANCE;NETHERLANDS;E;LU;ARCELOR (AMS) DEAD - 13/11/07;ARCELOR (AMS) DEAD - 13/11/07;ARCELOR;LU0325453354
945378;Y;EQ;S;UNITED STATES;NETHERLANDS;E;NL;ARMCO INC.CERT. (AMS) DEAD - DELIST 01/10/99;ARMCO INCOME CERTIFICATE (AMS) DEAD - DELIST 01/10/99;ARMCO INCORPORATED;NL0000453512
932769;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;ARNHEM SCHWZ.CERT.;ARNHEM SCHWEIZERISCHE CERTIFICATE;ARNHEM SCHWEIZERISCHE CERTIFICATE;NA
870936;Y;CF;P;NETHERLANDS;NETHERLANDS;E;NL;ARNHEMSCHE DEAD - DELIST 26/10/01;ARNHEMSCHE DEAD - DELIST 26/10/01;ARNHEMSCHE;NL0000333755
51148J;Y;EQ;S;BELGIUM;NETHERLANDS;E;BE;ARSEUS (AMS) DEAD - SEE MOR 51129T;ARSEUS (AMS) DEAD - SEE MOR 51129T;FAGRON;BE0003874915
671031;N;EQ;P;JAPAN;NETHERLANDS;Y;NL;ASAHI CDR.1000 (AMS) DEAD - DEAD 29/06/01;ASAHI CONTINENTAL DEPOSITARY RE 1000 (AMS) DEAD - DEAD 29/06/01;PENTAX CORPORATION;NL0000484343
671019;N;EQ;P;JAPAN;NETHERLANDS;Y;NL;ASAHI OPTICAL CDR (AMS) DEAD - DEAD 29/06/01;ASAHI OPTICAL CDR (AMS) DEAD - DEAD 29/06/01;PENTAX CORPORATION;NL0000484335
993282;Y;EQ;S;UNITED STATES;NETHERLANDS;U$;US;ASARCO (AMS) DEAD - DELIST 21/12/99;ASARCO (AMS) DEAD - DELIST 21/12/99;ASARCO;US0434131035
882142;N;EQ;P;UNITED STATES;NETHERLANDS;E;NL;ASARCO INC CERTS. (AMS) DEAD - DELIST 21/12/99;ASARCO INC CERTIFICATES (AMS) DEAD - DELIST 21/12/99;ASARCO;NL0000453629
671032;N;EQ;P;UNITED STATES;NETHERLANDS;E;NL;ASHLAND CERT. (AMS) DEAD - DEAD 06/07/00;ASHLAND CERTIFICATE (AMS) DEAD - DEAD 06/07/00;ASHLAND GLOBAL HOLDINGS INCORPORATED;NL0000453710
945381;N;EQ;P;UNITED STATES;NETHERLANDS;FL;N/A;ASHLAND OIL CERT. (AMS) DEAD - DUPL.905342;ASHLAND OIL CERTIFICATE (AMS) DEAD - DUPLICATE 905342;ASHLAND GLOBAL HOLDINGS INCORPORATED;NA
923535;Y;EQ;S;NETHERLANDS;NETHERLANDS;E;NL;ASR VERZEKERINGSGROEP DEAD - DELIST.21/03/01;ASR VERZEKERINGSGROEP DEAD - DELIST.21/03/01;ASR VERZEKERINGSGROEP;NL0000301380
932770;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;ASSELBERGS;ASSELBERGS;ASSELBERGS;NA
686641;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ASTRA INFORMATICA GROEP DEAD - MERGER 289246;ASTRA INFORMATICA GROEP DEAD - MERGER 289246;ASTRA INFORMATICA GROEP;NL0000335651
993281;Y;EQ;S;UNITED STATES;NETHERLANDS;U$;US;AT & T (AMS) DEAD - DEAD;AT & T (AMS) DEAD - DEAD;AT & T;US0019575051
152014;Y;EQ;S;UNITED STATES;NETHERLANDS;E;US;AT & T (FL) (AMS) DEAD - 18/11/05;AT & T (FL) (AMS) DEAD - 18/11/05;AT & T;US0019575051
866353;N;EQ;P;UNITED STATES;NETHERLANDS;U$;NL;AT & T CERTS. (AMS) DEAD - DELIST 20/03/02;AT & T CERTIFICATES (AMS) DEAD - DELIST 20/03/02;AT & T;NL0000490753
308847;Y;EQ;S;UNITED STATES;NETHERLANDS;U$;US;AT&T (AMS) DEAD - 11/12/01;AT&T (AMS) DEAD - 11/12/01;AT&T INCORPORATED;US00206R1023
756566;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ATAG GROUP DEAD - DELIST 01/11/01;ATAG GROUP DEAD - DELIST 01/11/01;ATAG GROUP NV;NL0000335743
772293;N;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;ATAG WTS.'91;ATAG WARRANTS '91;ATAG GROUP NV;NA
505383;N;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;ATAG 1/28 STK. CERT.;ATAG 1/28 STOCK CERTIFICATE;ATAG GROUP NV;NA
504339;N;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;ATAG 4% STK.CERT.;ATAG 4% STOCK CERTIFICATE;ATAG GROUP NV;NA
932888;N;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;ATHLON GROEP CERT. DEAD - DELIST 14/08/98;ATHLON GROEP CERTIFICATE DEAD - DELIST 14/08/98;ATHLON HOLDING NV;NL0000380228
932887;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ATHLON HOLDING;ATHLON HOLDING;ATHLON HOLDING NV;NL0000380210
671033;N;EQ;P;UNITED STATES;NETHERLANDS;E;NL;ATLANT RICH.CERT. (AMS);ATLANT RICHFIELD CERTIFICATE (AMS);ATLANTIC RICHFIELD;NL0000454056
993283;Y;EQ;S;UNITED STATES;NETHERLANDS;U$;US;ATLANTIC RICH. (AMS) DEAD - DEAD 04/05/00;ATLANTIC RICHFIELD (AMS) DEAD - DEAD 04/05/00;ATLANTIC RICHFIELD;US0488251036
932771;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;AUDET;AUDET;AUDET;NA
307541;Y;INVT;P;NETHERLANDS;NETHERLANDS;U$;N/A;AUSTRO-HUNGARY FD. DEAD - DELIST.06/10/95;AUSTRO-HUNGARY FUND DEAD - DELIST.06/10/95;AUSTRO-HUNGARY FUND;NA
932774;N;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;AUTOM.INDS. CERT.;AUTOMOBIEL INDUSTRIES CERTIFICATE;STERN GROEP NV;NA
690389;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AVALIX GROEP DEAD - MERGER 289246;AVALIX GROEP DEAD - MERGER 289246;AVALIX GROEP;NL0000336006
702257;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;AVESCO DEAD - DELIST.11/11/91;AVESCO DEAD - DELIST.11/11/91;AVESCO;NA
273308;Y;EQ;S;FRANCE;NETHERLANDS;E;FR;AXA (AMS) DEAD - SEE MOR 936732;AXA (AMS) DEAD - SEE MOR 936732;AXA;FR0000120628
676711;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AXA STENMAN DEAD - DEAD 15/04/03;AXA STENMAN DEAD - DEAD 15/04/03;AXA STENMAN;NL0000335974
301571;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AXXICON GROEP DEAD - DELIST.19/01/01;AXXICON GROEP DEAD - DELIST.19/01/01;AXXICON GROEP NV;NL0000336444
912883;N;EQ;P;UNITED KINGDOM;NETHERLANDS;£;N/A;B A T INDS. (AMS) DEAD - 30/12/93;B A T INDUSTRIES (AMS) DEAD - 30/12/93;BRITISH AMERICAN TOBACCO PUBLIC LIMITED COMPANY;NA
143725;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BAAN DEAD - 09/08/11;BAAN DEAD - 09/08/11;BAAN COMPANY NV;NL0000336352
929312;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;BALLAST NEDAM DEAD - DELIST.01/05/90;BALLAST NEDAM DEAD - DELIST.01/05/90;BALLAST NEDAM;NA
142433;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BALLAST NEDAM DEAD - 26/02/16;BALLAST NEDAM DEAD - 26/02/16;BALLAST NEDAM NV;NL0000336543
26958H;N;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BAM CONVERTIBLE PREF. DEAD - 26/08/11;BAM CONVERTIBLE PREFERENCE DEAD - 26/08/11;KONINKLIJKE BAM GROEP NV;NL0000337335
28982T;N;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BAM NON CV.PREF. DEAD - 05/08/11;BAM NON CONVERTIBLE PREFERENCE DEAD - 05/08/11;KONINKLIJKE BAM GROEP NV;NL0000337327
9745P5;N;EQ;P;BRAZIL;NETHERLANDS;E;US;BANCO BTG PACTUAL REP PREF;BANCO BTG PACTUAL REP PREF;BANCO BTG PACTUAL SA;US05890C2044
283734;Y;EQ;S;SPAIN;NETHERLANDS;E;ES;BANCO SANTANDER (AMS) DEAD - 23/11/17;BANCO SANTANDER (AMS) DEAD - 23/11/17;BANCO SANTANDER SA;ES0113900J37
504233;Y;EQ;S;GERMANY;NETHERLANDS;E;NL;BASF (AMS) DEAD - DLEIST.30/07/99;BASF (AMS) DEAD - DLEIST.30/07/99;BASF SE;NL0005151005
932777;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BATENBURG TECHNIEK DEAD - DELIST.29/04/19;BATENBURG TECHNIEK DEAD - DELIST.29/04/19;BATENBURG TECHNIEK;NL0006292906
866677;Y;EQ;S;GERMANY;NETHERLANDS;U$;DE;BAYER (AMS);BAYER (AMS);BAYER AG;DE000BAY0017
273313;Y;EQ;S;SPAIN;NETHERLANDS;E;ES;BBVA (AMS) DEAD - 23/11/17;BBVA (AMS) DEAD - 23/11/17;BANCO BILBAO VIZCAYA ARGENTARIA SA;ES0113211835
671034;N;EQ;P;CANADA;NETHERLANDS;E;NL;BCE CERT. (AMS) DEAD - DEAD 02/08/01;BCE CERTIFICATE (AMS) DEAD - DEAD 02/08/01;BCE INCORPORATED;NL0000440907
866657;Y;EQ;S;UNITED STATES;NETHERLANDS;U$;US;BEAM (AMS) DEAD - 02/05/14;BEAM (AMS) DEAD - 02/05/14;BEAM INCORPORATED;US0737301038
932778;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;BEEK A L VAN;BEEK A L VAN;BEEK A L VAN;NA
904251;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BEERS DEAD - DELIST.09/02/01;BEERS DEAD - DELIST.09/02/01;BEERS NV;NL0000338465
896280;N;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BEGEMANN KON.GROEP 'B' DEAD - 22/01/08;BEGEMANN KONINKLIJKE GROEP 'B' DEAD - 22/01/08;ALMUNDA PROFESSIONALS NV;NL0000338887
952353;Y;CF;P;NETHERLANDS;NETHERLANDS;E;NL;BELINDO CERTS. DEAD - DEAD;BELINDO CERTIFICATES DEAD - DEAD;BELINDO;NL0000339018
866364;Y;EQ;S;UNITED STATES;NETHERLANDS;U$;US;BELLSOUTH (AMS) DEAD - 03/01/07;BELLSOUTH (AMS) DEAD - 03/01/07;BELLSOUTH CORPORATION;US0798601029
898739;Y;EQ;P;UNITED STATES;NETHERLANDS;E;NL;BENCKISER 'B' DEAD - T/O BY 900484;BENCKISER 'B' DEAD - T/O BY 900484;BENCKISER 'B';NL0000339331
741044;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;BERGHUIZER PAPIER. DEAD - DELIST.19/07/94;BERGHUIZER PAPIERFABRIK DEAD - DELIST.19/07/94;BERGHUIZER PAPIERFABRIK;NA
