Date;23-9-2021;;;;;;;;;;;
Type;MAJOR FLAG;STOCK TYPE;QUOTE INDICATOR;GEOGRAPHIC DESCR.;GEOG DESC OF LSTNG;CURRENCY;ISIN ISSUER CTRY;NAME;FULL NAME;COMPANY NAME;ISIN CODE;CURRENCY
51369X;Y;EQ;P;GERMANY;GERMANY;E;NL;AUDIUS;AUDIUS;AUDIUS SE;NL0006129074;E 
690389;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AVALIX GROEP DEAD - MERGER 289246;AVALIX GROEP DEAD - MERGER 289246;AVALIX GROEP;NL0000336006;E 
51268X;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AVANTIUM;AVANTIUM;AVANTIUM NV;NL0012047823;E 
27187E;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;AVEBE B A;AVEBE B A;AVEBE B A;NA;E 
86786D;Y;EQ;P;UNITED STATES;UNITED STATES;U$;NL;AVG TECHNOLOGIES DEAD - DELIST 13/09/17;AVG TECHNOLOGIES DEAD - DELIST 13/09/17;AVG TECHNOLOGIES NV;NL0010060661;U$
676711;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AXA STENMAN DEAD - DEAD 15/04/03;AXA STENMAN DEAD - DEAD 15/04/03;AXA STENMAN;NL0000335974;E 
301571;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AXXICON GROEP DEAD - DELIST.19/01/01;AXXICON GROEP DEAD - DELIST.19/01/01;AXXICON GROEP NV;NL0000336444;E 
143725;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BAAN DEAD - 09/08/11;BAAN DEAD - 09/08/11;BAAN COMPANY NV;NL0000336352;E 
142433;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BALLAST NEDAM DEAD - 26/02/16;BALLAST NEDAM DEAD - 26/02/16;BALLAST NEDAM NV;NL0000336543;E 
932775;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BAM GROEP KON.;BAM GROEP KONINKLIJKE;KONINKLIJKE BAM GROEP NV;NL0000337319;E 
7493HQ;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BASIC-FIT;BASIC-FIT;BASIC-FIT;NL0011872650;E 
32009L;Y;EQ;S;UNITED KINGDOM;UNITED KINGDOM;£;NL;BATEMAN ENGINEERING DEAD - 24/04/09;BATEMAN ENGINEERING DEAD - 24/04/09;BATEMAN ENGINEERING NV;NL0000039147;£ 
35967U;Y;EQ;P;NETHERLANDS;UNITED KINGDOM;£;NL;BATEMAN LITWIN DEAD - 02/11/09;BATEMAN LITWIN DEAD - 02/11/09;BATEMAN LITWIN NV;NL0000683829;£ 
932777;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BATENBURG TECHNIEK DEAD - DELIST.29/04/19;BATENBURG TECHNIEK DEAD - DELIST.29/04/19;BATENBURG TECHNIEK;NL0006292906;E 
866096;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BE SEMICONDUCTOR INDUSTRIES;BE SEMICONDUCTOR INDUSTRIES;BE SEMICONDUCTOR INDUSTRIES;NL0012866412;E 
904251;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BEERS DEAD - DELIST.09/02/01;BEERS DEAD - DELIST.09/02/01;BEERS NV;NL0000338465;E 
898739;Y;EQ;P;UNITED STATES;NETHERLANDS;E;NL;BENCKISER 'B' DEAD - T/O BY 900484;BENCKISER 'B' DEAD - T/O BY 900484;BENCKISER 'B';NL0000339331;E 
922960;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;BERKEL'S PATENT DEAD - DELIST.04/01/93;BERKEL'S PATENT DEAD - DELIST.04/01/93;BERKEL'S PATENT;NL0000339612;FL
772701;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;BESOUW(VAN CERTS.) DEAD - DELIST 18/07/97;BESOUW(VAN CERTIFICATES) DEAD - DELIST 18/07/97;BESOUW HOLDING VAN;NL0000440071;FL
882832;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BETER BED HOLDING;BETER BED HOLDING;BETER BED HOLDING NV;NL0000339703;E 
998684;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BEVER HOLDING SUSP - SUSP.08/09/21;BEVER HOLDING SUSP - SUSPENDED 08/09/21;BEVER HOLDING NV;NL0000285278;E 
912706;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BIJENKORF KON. DEAD - T/O BY 143724;BIJENKORF KONINKLIJKE DEAD - T/O BY 143724;BIJENKORF KONINKLIJKE;NL0000343655;E 
702063;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BINCKBANK DEAD - DELIST.26/09/19;BINCKBANK DEAD - DELIST.26/09/19;BINCKBANK NV;NL0000335578;E 
932781;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BLYDENSTEIN-WILLINK DEAD - 16/01/07;BLYDENSTEIN-WILLINK DEAD - 16/01/07;BLYDENSTEIN-WILLINK NV;NL0000340347;E 
754838;Y;UT;P;NETHERLANDS;NA;E;NL;BNP PARIBAS ALL IN FUND DEAD - Merged:32343H;BNP PARIBAS ALL IN FUND DEAD - Merged:32343H;BNP PARIBAS ALL IN FUND;NL0006294068;E 
933241;Y;UT;P;NETHERLANDS;NA;E;NL;BNP PARIBAS OBAM N V.;BNP PARIBAS OBAM N V.;BNP PARIBAS OBAM N V.;NL0006294035;E 
950619;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;BOLS LUCAS;BOLS LUCAS;BOLS LUCAS;NA;FL
929310;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;BORSUMIJ WEHRY DEAD - DELIST.20/10/95;BORSUMIJ WEHRY DEAD - DELIST.20/10/95;BORSUMIJ WEHRY;NL0000341394;FL
922358;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BOSKALIS WESTMINSTER;BOSKALIS WESTMINSTER;KONINKLIJKE BOSKALIS WESTMINSTER NV;NL0000852580;E 
27507H;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;BRAAT BEHEER N V DEAD - DEAD;BRAAT BEHEER N V DEAD - DEAD;BRAAT BEHEER N V;NA;E 
72960P;Y;EQ;P;ISRAEL;ISRAEL;I£;NL;BRACK CAPITAL PROPERTIES;BRACK CAPITAL PROPERTIES;BRACK CAPITAL PROPERTIES NV;NL0009690619;I£
264711;Y;EQ;P;GERMANY;GERMANY;E;NL;BRAINPOWER;BRAINPOWER;BRAINPOWER NV;NL0000238228;E 
916656;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;BREDERO VERN.BEDR. DEAD - DELIST.17/12/96;BREDERO VEREENIGDE BEDRIJVEN DEAD - DELIST.17/12/96;BREDERO VEREENIGDE BEDRIJVEN;NL0000342632;FL
932787;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BREEVAST CERTS. DEAD - DELIST 05/11/99;BREEVAST CERTIFICATES DEAD - DELIST 05/11/99;BREEVAST NV;NL0000342541;E 
923522;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BROCACEF HOLDING DEAD - DELIST.02/02/01;BROCACEF HOLDING DEAD - DELIST.02/02/01;BROCACEF HOLDING;NL0000331650;E 
897486;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BRUNEL INTL.;BRUNEL INTERNATIONAL;BRUNEL INTERNATIONAL NV;NL0010776944;E 
